26919,2708 Charolais,27,Bourgogne-Franche-Comté,2708,Charolais,122016,17283,17376,113439600,109560796
26977,2710 Creusot-Montceau,27,Bourgogne-Franche-Comté,2710,Creusot-Montceau,122016,22655,22673,170250093,160037686
27066,2713 Lons-le-Saunier,27,Bourgogne-Franche-Comté,2713,Lons-le-Saunier,122016,7238,7255,46304491,43786612
27095,2717 Sens,27,Bourgogne-Franche-Comté,2717,Sens,122016,24197,24291,172111324,162789261
27154,0059 Mâcon,27,Bourgogne-Franche-Comté,59,Mâcon,122016,32652,32697,227204146,214963295
27183,0060 Nevers,27,Bourgogne-Franche-Comté,60,Nevers,122016,30938,31103,207323053,195531025
27277,2711 Dijon,27,Bourgogne-Franche-Comté,2711,Dijon,122016,21,21,144410,139378
27333,2713 Lons-le-Saunier,27,Bourgogne-Franche-Comté,2713,Lons-le-Saunier,122016,29726,29900,202503050,192407069
27459,2718 Vesoul,27,Bourgogne-Franche-Comté,2718,Vesoul,122016,28007,28109,179322351,171175653
27491,2803 Bernay,28,Normandie,2803,Bernay,122016,13784,13921,98121221,93407299
27526,2807 Dieppe-Caux maritime,28,Normandie,2807,Dieppe-Caux maritime,122016,29909,30144,221014763,209452087
27676,2815 Rouen,28,Normandie,2815,Rouen,122016,198529,198491,1496288743,1407356447
27793,0057 Dreux,28,Normandie,57,Dreux,122016,2620,2639,19164706,18516630
27829,0058 La Vallée de la Bresle-Vimeu,28,Normandie,58,La Vallée de la Bresle-Vimeu,122016,11258,11362,85493462,80380595
28040,2810 Granville,28,Normandie,2810,Granville,122016,9891,10087,64284280,62116031
28073,2811 Honfleur Pont-Audemer,28,Normandie,2811,Honfleur Pont-Audemer,122016,11165,11800,77903713,76561260
28237,0051 Alençon,28,Normandie,51,Alençon,122016,20505,20353,131046415,124641050
28266,0061 Nogent-le-Rotrou,28,Normandie,61,Nogent-le-Rotrou,122016,4746,4759,33158697,31228293
28391,3210 Compiègne,32,Hauts-de-France,3210,Compiègne,122016,51797,51832,393631525,372570488
28440,7526 Royan,75,Nouvelle-Aquitaine,7526,Royan,122016,19194,21574,118463878,123797933
28492,7528 Saintes,75,Nouvelle-Aquitaine,7528,Saintes,122016,23257,23438,143013447,136874082
28521,7530 Thouars,75,Nouvelle-Aquitaine,7530,Thouars,122016,13920,14097,89096277,85129405
28669,7505 Bordeaux,75,Nouvelle-Aquitaine,7505,Bordeaux,122016,353086,353779,2700989232,2571660455
