ID,libelle_zone_d_emploi,code_region,region,code_zone_d_emploi,zone_d_emploi,date,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_brut,masse_salariale_cvs
6826,7520 Niort,75,Nouvelle-Aquitaine,7520,Niort,031998,45830,46510,213771798,219987264
6987,7507 Brive-la-Gaillarde,75,Nouvelle-Aquitaine,7507,Brive-la-Gaillarde,031998,3739,3795,16899020,17997882
7032,7525 Rochefort,75,Nouvelle-Aquitaine,7525,Rochefort,031998,11571,11734,45812495,48620001
7195,7516 Libourne,75,Nouvelle-Aquitaine,7516,Libourne,031998,20517,20785,85177597,89314791
7439,7529 Sarlat-La-Canéda,75,Nouvelle-Aquitaine,7529,Sarlat-La-Canéda,031998,8689,9333,31278656,34802412
7467,7532 Villeneuve-sur-Lot,75,Nouvelle-Aquitaine,7532,Villeneuve-sur-Lot,031998,14054,14466,53712677,56928746
7537,7511 Guéret,75,Nouvelle-Aquitaine,7511,Guéret,031998,17834,18153,67934011,71130260
7600,7527 Saint-Junien,75,Nouvelle-Aquitaine,7527,Saint-Junien,031998,12789,13154,41247017,43657978
7627,7531 Tulle,75,Nouvelle-Aquitaine,7531,Tulle,031998,14373,14614,58061150,61021449
7692,7602 Albi,76,Occitanie,7602,Albi,031998,39291,39708,158590855,165315470
7723,7604 Auch,76,Occitanie,7604,Auch,031998,22768,23095,84490149,88621105
7796,7608 Carcassonne-Limoux,76,Occitanie,7608,Carcassonne-Limoux,031998,35,34,159527,153873
8103,7624 Tarbes-Lourdes,76,Occitanie,7624,Tarbes-Lourdes,031998,46407,47473,191338785,202076941
8308,7610 Castres-Mazamet,76,Occitanie,7610,Castres-Mazamet,031998,310,332,1088694,1161633
8343,7612 Foix-Pamiers,76,Occitanie,7612,Foix-Pamiers,031998,240,249,854119,885106
8470,7617 Narbonne,76,Occitanie,7617,Narbonne,031998,19891,20605,78237309,82714782
8533,7620 Perpignan,76,Occitanie,7620,Perpignan,031998,66113,68556,263213072,281783018
8599,7625 Toulouse,76,Occitanie,7625,Toulouse,031998,6,6,18195,17757
8742,8404 Belley,84,Auvergne-Rhône-Alpes,8404,Belley,031998,9131,9237,39807331,42061782
8774,8405 Bourg en Bresse,84,Auvergne-Rhône-Alpes,8405,Bourg en Bresse,031998,54239,54756,243244935,254079293
8831,8407 Chambéry,84,Auvergne-Rhône-Alpes,8407,Chambéry,031998,53831,54458,246663548,256948141
8888,8411 La Maurienne,84,Auvergne-Rhône-Alpes,8411,La Maurienne,031998,11009,9979,50300248,48075583
8916,8412 La Plaine du Forez,84,Auvergne-Rhône-Alpes,8412,La Plaine du Forez,031998,15783,16041,68087194,70279829
9047,8416 Le Genevois Français,84,Auvergne-Rhône-Alpes,8416,Le Genevois Français,031998,47215,47729,213942386,222868952
9141,8419 Le Puy en Velay,84,Auvergne-Rhône-Alpes,8419,Le Puy en Velay,031998,166,186,493652,581846
9206,8421 Lyon,84,Auvergne-Rhône-Alpes,8421,Lyon,031998,510994,514027,2669305463,2762558377
9365,8428 Saint Etienne,84,Auvergne-Rhône-Alpes,8428,Saint Etienne,031998,133457,135116,593661030,616888493
9395,8430 Tarare,84,Auvergne-Rhône-Alpes,8430,Tarare,031998,13867,14005,59801163,61963830
9558,0055 Bollène-Pierrelatte,84,Auvergne-Rhône-Alpes,55,Bollène-Pierrelatte,031998,13009,13165,72097110,76751758
9660,8403 Aurillac,84,Auvergne-Rhône-Alpes,8403,Aurillac,031998,15864,16195,62046279,64616276
9725,8410 Issoire,84,Auvergne-Rhône-Alpes,8410,Issoire,031998,15048,15343,61094612,64548189
9757,8417 Le Livradois,84,Auvergne-Rhône-Alpes,8417,Le Livradois,031998,18866,19197,78169938,81831309
9877,8424 Moulins,84,Auvergne-Rhône-Alpes,8424,Moulins,031998,19996,20268,80647826,84766637
9913,8428 Saint Etienne,84,Auvergne-Rhône-Alpes,8428,Saint Etienne,031998,3820,3824,15795987,15915101
9935,8429 Saint Flour,84,Auvergne-Rhône-Alpes,8429,Saint Flour,031998,4626,4702,16291673,16995025
10015,9301 Aix-en-Provence,93,Provence-Alpes-Côte d'Azur,9301,Aix-en-Provence,031998,74475,75251,352639066,363326343
10045,9302 Briançon,93,Provence-Alpes-Côte d'Azur,9302,Briançon,031998,9359,8071,37782092,33486275
10102,3217 Maubeuge,32,Hauts-de-France,3217,Maubeuge,031998,7151,7285,29860445,31116515
10286,3204 Berck,32,Hauts-de-France,3204,Berck,031998,23222,24014,95521955,102171668
10319,3205 Béthune,32,Hauts-de-France,3205,Béthune,031998,46976,47456,209649431,220968628
10408,3208 Cambrai,32,Hauts-de-France,3208,Cambrai,031998,35102,35518,135770963,143194683
10530,3216 Lille,32,Hauts-de-France,3216,Lille,031998,259924,260579,1260300001,1308126760
10595,3218 Roubaix-Tourcoing,32,Hauts-de-France,3218,Roubaix-Tourcoing,031998,103398,104480,487407752,506492051
10620,3219 Saint-Omer,32,Hauts-de-France,3219,Saint-Omer,031998,39878,40615,175478523,184248623
10691,4402 Châlons-en-Champagne,44,Grand Est,4402,Châlons-en-Champagne,031998,24411,24772,107420205,113273762
10756,4404 Chaumont,44,Grand Est,4404,Chaumont,031998,24570,24948,101631233,107265710
10816,4413 Reims,44,Grand Est,4413,Reims,031998,81301,82117,375243608,396084615
10916,4425 Troyes,44,Grand Est,4425,Troyes,031998,62490,62990,255996195,267370202
10978,4401 Bar-le-Duc,44,Grand Est,4401,Bar-le-Duc,031998,16769,16983,72219959,76322831
11041,4407 Épinal,44,Grand Est,4407,Épinal,031998,44770,45951,198383435,212527675
11106,4410 Metz,44,Grand Est,4410,Metz,031998,112076,113851,526240608,557292607
11335,4421 Sedan,44,Grand Est,4421,Sedan,031998,1988,2026,8276822,8781454
11396,4426 Verdun,44,Grand Est,4426,Verdun,031998,12716,12956,50150205,52698109
11545,4418 Saint-Louis,44,Grand Est,4418,Saint-Louis,031998,16949,17108,84797573,90053197
11574,4419 Sarrebourg,44,Grand Est,4419,Sarrebourg,031998,7541,7603,35988563,37408949
11607,4420 Sarreguemines,44,Grand Est,4420,Sarreguemines,031998,6790,6897,29674504,31528307
11641,4422 Sélestat,44,Grand Est,4422,Sélestat,031998,20813,21132,94616310,99909517
11709,5201 Ancenis,52,Pays de la Loire,5201,Ancenis,031998,20882,21151,85067136,88122438
11764,5203 Challans,52,Pays de la Loire,5203,Challans,031998,22514,23766,83275037,91716443
11824,5205 Châteaubriant,52,Pays de la Loire,5205,Châteaubriant,031998,8412,8558,34662284,36158136
11861,5206 Cholet,52,Pays de la Loire,5206,Cholet,031998,50770,51072,211683665,219669913
11982,5210 La Roche-sur-Yon,52,Pays de la Loire,5210,La Roche-sur-Yon,031998,35390,35644,147455218,155592734
12201,5217 Pornic,52,Pays de la Loire,5217,Pornic,031998,7774,8076,30167790,32417863
12288,5220 Saumur,52,Pays de la Loire,5220,Saumur,031998,17976,18081,72279250,75437204
12362,0051 Alençon,52,Pays de la Loire,51,Alençon,031998,6118,6145,23157902,24048752
12392,0062 Redon,52,Pays de la Loire,62,Redon,031998,1558,1569,6625573,6995418
12453,5302 Brest,53,Bretagne,5302,Brest,031998,71664,72545,305255809,318509431
12555,5305 Fougères,53,Bretagne,5305,Fougères,031998,18834,19215,72013569,75631946
12667,5309 Lorient,53,Bretagne,5309,Lorient,031998,40744,41336,171605020,178714776
12731,5311 Ploërmel,53,Bretagne,5311,Ploërmel,031998,13280,13410,52575261,54598163
12848,5315 Rennes,53,Bretagne,5315,Rennes,031998,150489,151549,703132459,733866978
12883,5316 Saint-Brieuc,53,Bretagne,5316,Saint-Brieuc,031998,39304,39715,165158841,171923077
12917,5317 Saint-Malo,53,Bretagne,5317,Saint-Malo,031998,24656,25438,101754541,108105693
13010,0062 Redon,53,Bretagne,62,Redon,031998,14624,14823,54523098,56629539
13036,7502 Angoulême,75,Nouvelle-Aquitaine,7502,Angoulême,031998,51131,51582,216081299,225910930
13068,7505 Bordeaux,75,Nouvelle-Aquitaine,7505,Bordeaux,031998,10,10,25126,25136
13190,7512 La Rochelle,75,Nouvelle-Aquitaine,7512,La Rochelle,031998,46559,47598,194414556,207463172
13310,7524 Poitiers,75,Nouvelle-Aquitaine,7524,Poitiers,031998,64597,65218,276663082,286524611
